@relation emotions

@attribute sentence string
@attribute category {hp, sd, fr, sp, ne, dg, ag}

@data
' july beautiful weather summer adventures, traveled australian friend theater festival cyprus ',hp
' friend north texas, jessica, playing title role medea theater festival ',ne
' ridiculous amounts fun ',hp
' city sweaty, dirty, hole ',dg
' squalor-filled mediterranean capital, add imag e: 10 story everywhere, 100 degree heat, cooled wall-mounted air condi tioners, a.k.a. swamp boxes ',ne
' imagine swamp box coolers head streets ',dg
' add couple poorly placed ',ne
' city lovely, ',hp
' days back back ',ne
' amazing ',sp
' took hours there, played rocks hour, pics temple ruin literall clinging cliff face ',ne
' watched tourists sun th temple, mediterranean ',sp
' sky amazing greece, feels reach ouch it, close ',sp
' ',ne
' bad ',ne
' cyprus amazing ',sp
' jessica medea, treated incredibly fest ival ',sp
' stayed tiny mountain village called droushia, people brought incredible ',sp
' feel welcome, puttin beautiful hotel, pay anything, sure ur stay stories ',hp
' tomorrow special. ',ne
' morning, festival, drive hicles, took map area blue ', ne 
' imagine incredible, cove, blue water, giant stone wate r, wide, color ',sp
' brought lunch fresh fruit broke fast cliff gorgeous ',ne
' interesting staying mountain village, nd experience bit ',hp
' oh food incredible ',sp
' feta ',ne
' feta ',ne
' testament vision world technical gadgetry, fascinated year-old stones ',hp
' returning greece berlin passed quickly ', ne 
' flew knew it, august est friend lance, berlin ',ne
' spent days working final tours, partying, lan ce city love years ',hp
' people london paris expensive; ',ne
' ',ne
' ball ',hp
' walking tour, city museum (located castle, cool), relaxing enjoying amazing views ',hp
' city incredibly beautiful, right water ',sp
' think city, rumors: city dirty, people rude, language insurmounta ble, incomprehensible, stolen, hate american ',dg
' called city love light reason ',ne
' breathtaking, person cliche fall love ',hp
' people absolutely lovely ',hp
' genuinely wonderful, helpful, content people ',hp
' trying order morning (my terrible) asking talking cabbies, surprised open ',sp
' enjoy city ',hp
' know beautiful is, appreciate ',hp
' man, gorgeous ',hp
' people ',ne
' fabulous sense community ',hp
' favorite part city nap chairs ',hp
' people place, lots chairs ',ne
' thought: "that strange, about? ',sp
' headed chairs shade , ',ne
' looked noticed lots people park, nap chairs, ',ne
' ',ne
' city tax dollars chairs public park ',ne
' france ',hp
' ball paris ',hp
' versailles, dame, fabulous bike tour ',hp
' interesting learned bike tour revol utionaries bastille, 7 left ',sp
' montmartre, artist district, minutes cathedral ',ne
' cathedral point paris, point, entire city spread feet ',ne
' pretty breathtaking sight ',hp
' steps sort party performers ity-watchers bottle wine spirit ',hp
' steps favorite paris ',hp
' incredible incredible journey ',sp
' thus, tour ',ne
' returned fresh start, side ',ne
' lucky direct school, sunday ',hp
' piece red hat, extremely ',hp
' nice stretch theater muscles ',hp
' european adventure (for moment) american star ts tomorrow ',ne
' excited move, opportunities ',hp
' lot ',ne
' hope well; summer, excited upcoming (rapidly approaching) holiday season ',hp
' wish fabulous week, warm safe start season ',hp
' meet ',ne
' school ',ne
' classes fine ',ne
' sucks, accepted ',dg
' teachers amazing, know ama zing ',sp
' so, all-in-all, pretty good, right ',hp
' honestly, dating child, barely school ',ne
' brandon break up, is. unlikely, ope ',ne
' junior year, will, fact, bitch ',dg
' world hardest (academically, anyway) ',ne 
' strong woman handle bit mental talks ',ne
' handle school drama.") also, friends, hem true, caring, trustworthy friends love supporting 100% ',hp
' triumphantly grace ',hp
' looked ',ne
' happy ',hp
' try succeed ',hp
' test myself: mind, body, ',ne
' loving ',hp
' junior year, will, fact, bitch ',dg
' recieved homework classes ',ne
' ah, ',ne
' ("you deal this, nyssa ',ne
' handle school drama.") also, friends, hem true, caring, trustworthy friends love supporting 100% ',hp
' triumphantly grace ',hp
' happens ',ne
' happy ',hp
' try succeed ',hp
' truly nyssa ',ne
' loving ',hp
' look learning am, loving inch ',hp
' believe nerve man. god ',sp
' ',ne
' kill ',ag
' think talk right ',ne
' holes it) lab course "book. ',ne
' worse, poorly inch right side page cut off, try read lab tomorrow try ing complete sense all, left ',ag
' again, angry ',ag
' like, meals ',ne
' meals europe ',ne
' poopy poopy poopy ',ag
' pay room board, tuition ',ne
' guess ',ne
' *cries* life spose ',sd
' bad mood playing blame game head, ang ry people ',ag
' forgot demeaning classes ',ag
' ',ne
' asking questions completely people jus answers ',sp
' wonder world in, wonder ',sp
' mean, 133 (ish) hours graduate which, non college people, 8-10 engineering major non engineering major ',ne
' find time/place pray ',ne
' feel privacy talk god cry figure ',sd
' church too, reasons ',sd
' love god brings people ',hp
' ok. feeling ',ne
' girls, highly shoes, sister enjoying ',hp
' think spent part hours reading today ',ne
' spose ',ne
' remind that, sense concept, dying ',sd
' expensive, cushiony, ',sd
' sitting fall, catch stray ca parking lot, drunk, inattentive, careless, fortunate driver home ',fr
' unlikely, happen ',ne
' new, constantly desire take, achieve, feel life ',ne
' ',ne
' saved ',ne
' wrote ',ne
' live average american life ston cemetery, forgotten reletaves, children, grand children ',sd
' live house environment family, cars, boat, back ',ne
' sink money trying live parade house wi th vehicles front, boat huge rack, list',ne
' exist ',ne
' start god, being, hopes heaven ',ne
' constant rainbow ',fr
' wonder writers able amazing feeling thought ',sp
' distractions ',ne
' thoughts moment melancholy, completely forgo tten push button xbox, dvd player, ',sd
' words mind "in closing" "to conclude", quickly write summary finished writing ',ne
' proud father ',hp
' official, friday ',ne
' sweet thing, totally depends ',hp
' funny game life, think step closer understanding ts purpose ',ne
' hard look life 14 days, honest pt ',sd
' wept mistakes put feelings feelings ',sd
' wept "f*ck you" "thank you" ',sd
' couple vices, strong coffee noodles, smoking, runk couple feeling life ',hp
' job well, kick work coming home ',hp
' phone call police hospital plant telling worst, hopes tomorrow ',fr
' buy ',ne
' back tank gas ',ne
' essentially person ',ne
' ',ne
' (a brain) theory ',ne
' brain amazing purpose ',sp
' people mental energy required train thought ',ne
' met fully developed brain ',ne
' head thought deep ',ne
' know lucky - find contentment looking ',hp
' find bring worry ',sd
' sky lifetime panic worry ',fr
' thought - extreme ',ne
' life finding balance ',ne
' saying happy - balance ',hp
' combination people balanced ',ne
' balanced ',ne
' happiness - brain factory ',hp
' try mental - alter feelings - balance ',ne
' producing testosterone testoster system ',ne
' body lazy - - stops ',ne
' cliche true ',ne
' "happiness lies within" - truly happy people ',hp
' happiness bring temporary ',hp
' temporary happiness intense balanced contentment ',hp
' equal sadness - life endless swing life ',sd
' mad called back ',ag
' laughing put dog drugs dog learned open window li kes temple road ',hp
' starts asking posted pics, dear sister, ',ne
' figure couple extra amount ',ne
' bought cool glass "tumbler up" ',ne
' ok, alignment bought tires ',ne
' tend think ',ne
' called ',ne
' car, alignment ',ne
' started questioning drives school bus living kn ows safe vehicle is. bitch ',ag
' bitch ',ag
' $500.00 back ',ne
' bitch ',ag
' lunch work yesterday ',ne
' meant started eating ',ne
' tell, success ',hp
' ',hp
' is. guy kitchen, liked e, hahaha ',hp
' well, say, kitchen, stuff, ven cook ',ne
' guy think world ',hp
' figure throw move desk middle room 2 rooms upstairs ',ne
' emotions gift god ',ne
' listening emotions asking feeling particu lar discover satisfied ',ne
' instance, feel sad family connection met ',sd
' otherhand, feel happy spent family connection met ',hp
' felt angry insulted, judged, criticized, hu rt ',ag
' live society stuff emotions society part feelings ',sd
' so, ',ne
' ',ne
' rosenberg, author nonviolent communication, four-step process com munication identifying feelings model ',ne
' rosenberg calls step process "giraffe language. ',ne
' heart 3 feet 3 ',ne
' feelings avoid ',ag
' help ',ne
' angry upset ',ag
' correct correct closer identifyin finding situation ',ne
' list feelings look ',ne
' instance, feel furious hour calm ',ag
' calm, focus feelings ',ne
' feel angry ',ag
' information nonviolent communication click ',ne
' - hell hard rock cafe, lets moment ',hp
' - rome fun friend hanz, managed run money dinner ',hp
' - yoga awesome, leave ',hp
' sun, beach, tan, ',hp
' meals, beautiful sunset, manage pull yoga ', hp 
' - felt sick eating crappy food, back bad coffee, shift wor k, eating rd ',dg
' - coming visit nov, mom dad decided along, str ess restaurants, depressed ',sd
' - help bouremouth, conservative party, takin mr. cameron ',ne
' - training wait pissed graduate ' ,dg
' sorry crappy update, try proper ',dg
' yay!! ',hp
' - (it 9-5, weekends) hope pick me, guest days ',ne
' know point title neh >> sick today tears._.; know ',sd
' talked earlier msn yeah, fun guess ',hp
' head, dad woke early brought home, back bed ',ne
' called dad minutes ago cell house gues hospital ',ne
' know why, energy cry constantly know ',sd
' neh ',ne
' know happened happiness, woke feeling inf act ',sd
' losing love thats sign ',sd
' feel right force update ',ne
' conversation funny, mentioned word pla ns escape earth avoid police, holy/hold, military yeah xd j.c. suggested try suggested sneak steal ',hp
' hilarious ',hp
' literally, girls ',ne
' gaia, lot n.n fun ',hp
' neh ',ne
' cassy back sunday night ',ne
' live that, wish though._.; feel lonely ', sd 
' ',ne
' dunno shocking early ',sp
' move etc. eh, cassy ',sd
' t_t ',ne
' heh, thats basically ',ne
' ',ne
' white man subject socialists revolutionarie saying hey, hold second! ',ne
' yes, veils muslim women world wear ',ne
' listen ',ne
' ',ne
' veil ninja outfit, completely covered eyes, cases ',ne
' called nikab ',ne
' hijab islam means privacy ',ne
' actual headscarf ',ne
' islam women modest, wear hijab, headscarf ',ne
' fatwa, islamic legal women wear nikab - bu issue conservative radical islam (just west christian right wackies) ',ne
' anti-muslim sentiment anti-french se ntiment non-christian communities ',ag
' germans passed laws, turkish-muslim population ',sd
' brits, true status europeans, wat er ',ne
' ',ne
' integrated, muslim community happy ',ag
' afraid ugly ',fr
' stated feels veils -- ver period muslim community ',ne
' mention muslim women saying women thank jack ',ne
' know many, woman absolutely willingly cover headscarf religious purposes ',ne
' true muslim world women wear veil ',ne
' france says head scarves, -- look sexy french school girl belly button hanging ',ne
' issue ',ne
' population coming study wear wis ',ne
' islam secular, european leaders model exa mple islam taught number ',ne
' hijab accepted tolerated, nikab (which extremely mall muslim women) ',ne
' muslims seriously address fears concerns white westerners - opened doors worlds ',fr
' door swing ',ne
' muslims understand fears concerns secular westerners wh deal islamic rules communities ',fr
' women run naked, eastern women completely cover themsel ves ',ne
' black white friends ',ne
' look eye eye ',ne
' extremely sad looks skyline thursday ',sd
' essentially, christian direction, musically, wants (whether skyline not), light confustion, (mike) deci ded leave project ',ne
' that, songs posted shortly th ose hear ',ne
' sorry letdown, speak else, hav happen ',sd
' (our individual pages "members" section) ',ne
' skyline updates and/or updates (past seudo-present) ',ne
' well, mil arrived yesterday ',ne
' bad news morning 21 y/o kitty, aun becky, passed night ',sd
' knew kitty (she now, ke pt rallying), shock all, sad ',sd
' think aunt becky waiting mil leave yesterday trip ',ne
' aagii, mil neighbor, ',ne
' niece yesterday afternoon collect great-nephew, brando ',ne
' wanted stay today play ',ne
' sure kidney appears " peeling onion", feeling ', hp 
' hey, lately ',ne
' ',ne
' know feeling ',ne
' weekend sooo ',hp
' sister back university (surprisingly) nice spend ti again! ',sp
' lol kidding ',hp
' anyways, monday people fun ell :) inc. ',hp
' believe god amazing opportunity reason turning ',sp
' pray trip people (i sure ',ne
' lol) ',hp
' feel caught life (hehe funny rm) wanted guys forget ',hp
' sometimes, ',ne
' :d lol ',hp
' random addition hope know trying at, know me, is. guys help th rough ',ne
' all, proud ',hp
' today, ',ne
' walked period find sub ',ne
' asked sub mind over, course ',ne
' bell rang, sub took ',ne
' allowed 10-15 minutes finish work yesterday gan piece ',ne
' reading class read ing ',ne
' period ran direction me. liked thrown situation prior knowledge ',sp
' hand, know today teach full period lesson 3 &amp; 6 ',ne
' lesson explaining term "mood" meant ',ne
' understanding "mood" works, presented paragraph wrote ',ne
' reading paragraph, students tell mood ',ne
' today story ',ne
' brief background author story ',ne
' spots, plot summary sure ',ne
' discussion, asked piece paper ',ne
' papers, shared class ',ne
' wow, plans ',sp
' ovac volleyball tournament morning, day, skating friends tonight ',ne
' ',ne
' parents club decided pay breakfasts, free ',hp
' tried pay back, me. free sweet green tie-dyed ovac shirt, ',hp
' today rocks ',hp
' gonna call friend wanted go, th ere ',ne
' skating-type person, ',ne
' days, lol ',hp
' love skating ',hp
' fall ass minutes, ',ne
' skates, ',ne
' o___ ',ne
' ',ne
' amazing ',hp
' like, top favorite authors list ',hp
' fact, authors books buy, matter ',ne
' yes, read hundreds, books people ',ne
' ',ne
' love stories, retelling stories, writing ',hp
' know ',ne
' reading story real characters ',ne
' pretty ',sd
' story leads me, people grace page ',ne
' eat, music like, etc. t! ',hp
' ',sd
' well, know lot friends writers, ',ne
' hm ',ne
' well, writing ',hp
' ordering tonic, mean coke ',ne
' enjoy driving ',hp
' know worcester, billerica, haverhill, ',ne
' know brothers, ',dg
' know sell ',ne
' find boston ',ne
' know guy named sean, pat, whitey, red, ',ne
' ',ne
' taught public schools ',dg
' "yankees suck" shirt hat ',dg
' think ',ne
' pray red win world series season, life ',ne
' know "big dig" ice cream ',ne
' "cape cod", "down cape" ',ne
' town, massachusetts, named outdoor market world ',ne
' know mass pike sort strange weather line ',ne
' letter "r" part english language ',ne
' brakes know s, frankie paranoia donuts, atm ',ne
' try order burger king order coffee kno drive 45 minutes $5 tax pulled side treet car traffic left ',ne
' money saved christmas tree shop know "regular" coffee is. pass friends rom massachusetts ',hp
' so, ok, happened last, thought funny mention today ',hp
' brandon night home, night, decided step patio smoke ',hp
' well, dog; louis, running patio storm, stuck head out, sat stupid young dude trying break nei ghbor (across street) car ',ag
' 911 asked "is white guy latin guy" ',ne
' cop came, talked seconds drove street ',ne
' time, unfortunately, broken car ',sd
' pick phone balcony call cops walking ', dg 
' cops ',sp
' 12 cops car break ',ne
' basically met neighbors community watch oing ',ne
' feel safer, neighbors love me. mention 2am break-in ',hp
' love me, woke butt-crack dawn ',hp
' beautiful ',hp
' =o) feel bad law &amp; order ',sd
' moments lives find ',ne
' afraid, confused, road map ',fr
' course, faced turn run back ',fr
' while, people push ',ne
' ',hp
' pain ta kes in, ',sd
' discover ',ne
' fears ',fr
' ',ne
' ',ne
' know anytime 60 days ',fr
' change situation ',ne
' woot ipod video (30g) ',hp
' kinda bad feeling sad/unhappy ',sd
' wanting now, money, ne ver wanted ',ne
' oh bad girl put buy card ',sd
' black one, sexy ',hp
' case it, sheets ',ne
' full case too, lil black snug, force lil bitch ',dg
' hey ',ne
' ~apple ipod sock ',ne
' lost 3 ',ne
' ',sp
' hey ',hp
' season ',ne
' snowfall day, final ly stopped falling lame dog ta ke shit bed ',fr
' lot happened months, beginnin summer ',ne
' dear friends lost people lives , strong ',sd
' mind tiny bit odd me. rarely strong ',sp
' laying big green couch position eating nd crying ',sd
' turns question pretty thought knew ',ne
' coming ',sp
' well, ',ne
' scares ',fr
' talk life change ',ne
' love forever, definately ',hp
' find again, stuck place ', ne 
' word, lost ',sd
' feel lost ',sd
' everything, sure ',sd
' admit ',ne
' stay ',ne
' words you: john ',ne
' gotta quarter-life worth ',sd
' 25 years ',ne
' idea ',hp
' snowfall ',ne
' well, ',ne
' mean hurt person ',sd
' scared ',fr
' scared future ',fr
' look ahead missionary/psychologist, married, wi th kids, life ',hp
' however, decisions ',ne
' un-happy people ',sd
' people divorces, commit ',ne
' hurt ',sd
' *sighs* bad hurting people hurt me. thin hurt hurt ',sd
' think commit person only, missing ',fr
' right person huge mistake ',fr
' think right person ',ne
' people say, "katrina, this," say, "katrina, that. ',ne
' know!!!!!!!!! ',ne
' wait god wants ',ne
' moments start trying god tha works ',ne
' post back ',ne
' today lol ',hp
' lay pretty fast hes sl eep crib find crib ',ne
' doctor says belly thats onl ',hp
' lol ',hp
' nap tell lol ',hp
' lol ',hp
' night ',ne
' oh know baby lol ',hp
' glad mom wal-mart ome back home nap ',hp
' ',ne
' lol,and ',hp
' haha ',hp
' thats face 21 not! ',ne
' lol ',hp
' anniversary, month,david birthday today,other famil members month,halloween stuff lol ',hp
' laundry mayb lay bit lol oh wa nts baby nice coming house cold weather,i sick baby problems lol,that visit grandpas,other s.o.l il lol ',hp
' is, dunno ',ne
' whore, originally buy gun (springfiled xd40 subcompact) ',ne
' pay time, buy fun ',dg
' gas down, $1.99 street ',ne
' job ',ne
' i, post shortly ',ne
' 3 months 8th, night (she brought pumpkin , pretty sweet) ',hp
' moved "together" nights, puts ',sd
' oh well, work lots ',ne
' kinda am, worth ',ne
' shooting part 8a 10p ',ne
' odd hour me. also, 25 outdoor range, whic variety loads (shotgun, magnum, etc) ',hp
' part is, pretty there, lighting ',hp
' interested, club, (just nam e) ',ne
' write ',ne
' starting interesting ',hp
' contact types deal specifically stand dow concerts variety military california ',ne
' knows playing 2007 ',ne
' mean huge party music festival june ',ne
' wants ',ne
' ha ',hp
' gig! ',ne
' leaving irvine 18th ',ne
' penn state weekend ',ne
' love ',hp
' people street night excitement ',hp
' lots people sex ',ne
' tonight michigan vs. game ',ne
' put ',ne
' ',hp
' night discussion 4:30am ',ne
' drink anymore ',ne
' hair ',ne
' saying ',ne
' hair looks shit mary ',dg
' 4 boys staying attend west point ',ne
' cute ',hp
' right ',ne
' cleaned up, buttons, tak hot shower, put adorable coat, downtown ', hp
' ',fr
' died ',fr
' look me! straight television ',ne
' oh ps. ',ne
' totally ',ne
' company crack house ',ne
' "how bacon? ',ne
' nevermind, test ',ne
' ones worth retelling ',ne
' 14 cookie ',hp
' cute think control ',hp 
' arrived ',ne
' lady post office starting laugh me. pu ',hp
' bad experience ebay ',sd
' cookie packed ',ne
' broken ',ne
' told rude ',ag
' well, packing job ',ne
' told f----ing a--hole negative rating ',ag
' turn negative rating ',ag
' man. trouble ',ne
' negative rating bummed awhile ',sd
' sold ebay ',ne
' frankie electric ',ne
' work enterprise ',ne
' staying pretty close home ',hp
' cooled bit big relief ',hp
' ',ne
' love "nap story booboo afternoon. ',hp
' means couch book lunch booboo cat ',ne
' wants put system plant grass ',ne
' money ',ne
' well, put dinner ',ne
' today food cake chocolate chip ',ne
' night ',ne
' oh shit, update ',dg
' so, love 4 school, ',hp
' thursday ',ne
' hung 12 ',ne
' chels cleaned room, ',ne
' home stuff kid camp ',ne
' off, hike place, worth shit dark ',dg
' awhile how, ryan fell back scraping up, hurts ha ',sd
' cutting damn tree down, go, tried sneak ',ag
' guess walked ryan right swung huge ass swung right face ',ag
' that, calling aubrey, baby, ally ',sd
' phone her, forever ',sd
' plus, eat yesterday, ck ',ne
' real lame ',dg
' ehh ',hp
' today, chels loves me, feel ',hp 
' tonight, gonna stay ',ne
' started month ago class (at part sounds cool. ',ne
' yeah, know, right laughing indians ',hp
' anyway, home notice feels kinda ',ne
' month, happened ',ne
' g.p., stuff phone, starts throwing aro words "orthopedic," "surgery," "x-rays" start thinking, "oh hit! ',dg
' course says words ("degenerative arthritis" "not age" ) total brain hear pretty ',ne
' girl ',hp
' old, cute ',hp
' pool lie pretty lake rarely tho ught ',hp
' well, know ',ne
' years ',ne
' job, wife, kids, house, car ',ne
' path society people ',ne
' felt free, alive ',hp
' best, ',hp
' line page act ',ne
' read backwards ',ne
' set fire ',ag
' me, self-fashioned ',ne
' happened today ',ne
' sucks drive anyways ',dg
' plus, means means 65 years! ',dg
' know drive problem study written ',ne
' happy birthday jamie! ',hp
' free aug. 31st ',ne
' call me. letting know suck tests ',dg
' first: heh heh heh, appropriate ',hp
' "i dunno, button find out. ',ne
' leave london days ',ne
' fucking terrorists decide caught, know, landed ',ag
