@relation emotions

@attribute sentence string
@attribute category {hp, sd, fr, sp, ne, dg, ag}

@data
' lyssa,me,matt,and find eat open 1 mornin giant bought junk food haha 000000 ',hp
' homecoming 000000 ',ne
' ammusing.hehehe.but yea fun ong time! 000000 ',hp
' telling wonderful night lol 000103 ',hp
' ill pics 000000 ',ne
' grace born wendsday, october 11, 2006 11:48 000000 ',ne
' believe here!! 000000 ',sp
' doctor tuesday, cleaned house, played soccer levi, amanda sit talk moved 000100 ',ne
' look me. think alot dan iel 000000 ',ne
' :) levi exciting big brother, thinks sooooo cool 000100 ',hp
' putting pictures eye amazing grace!! 000001 ',ne
' ryan school 000000 ',ne
' graduate career nursing 000000 ',ne
' life born love love teach people taught 000400 ',hp
' amazing home 000001 ',hp
' thats know know 000000 ',ne
' luckily 000000 ',hp
' yesterday, tournament 000000 ',ne
' 000000 ',hp
' morning beat 000001 ',ne
' pretty tournament 000000 ',hp
' guess 000000 ',ne
' happy 000500 ',hp
' chill team house 002000 ',hp
' dog sooo cute 000000 ',ne
' heh 000000 ',hp
' 000000 ',ne
' know 000000 ',ne
' volleyball 000000 ',sd
' photobucket - video image hostin 000000 ',ne
' means screen 000000 ',ne
' spend night irvine eye place 000100 ',ne
' woke dream like, "oh crap, no, back" manag back 000200 ',ag
' o_ 000000 ',ne
' dream kinda unsure, happy (for hope) 002500 ',hp
' odd though, care 000000 ',sp
' hey 000000 ',ne
' totally wake up, 000000 ',ne
' yeah, share 000000 ',ne
' ;_ 000000 ',ne
' rd, sweet lady hair 000000 ',ne
' 000000 ',dg
' reading amazing adventures &amp; 000001 ',sp
' copy birthday 000000 ',ne
' enjoying 000600 ',hp
' hot awesome bit night 000102 ',hp
' seriously took 4 hours fall asleep half-hour 10 min utes episodes 000000 ',ne
' hike 000000 ',ne
' think pain attending reception worth face aga 000000 ',sd
' danced 000000 ',ne
' 000000 ',sd
' missed 000000 ',sd
' sitting crying help cause run hold night rock 000100 ',sd
' stuff imagine dream 000000 ',ne
' home 000000 ',ne
' 000000 ',sd
' jubans, awesome 000002 ',hp
' schedule guy exactly sure job work 000000 ',ne
' work food eat awesome 000002 ',hp
' german lit test 000000 ',ne
' quiz sucks 000000 ',dg
' oh bad nervous 000010 ',fr
' truly character orgy shows. 000000 ',fr
' well, orgy, amusing 000000 ',hp
' shock 000000 ',sp
' books classical greek art room, waiting classical 000000 ',ne
' left library greek table, finished jason 000000 ',ne
' amanda, latin, "to love" 000400 ',ne
' 000000 ',ne
' slight find amusing: jason played year, playing night dream 000100 ',hp
' sock fun theatre company, 000000 ',hp
' point 000000 ',ne
' 000000 ',ne
' awesome 000002 ',hp
' bought latin 000000 ',ne
' spent couple hours trip night/this morning early 000100 ', ne 
' earth, sky feel real 000000 ',ne
' heh 000000 ',ne
' style buddhism, wrong, monkey god, truth 000000 ',ne
' 000000 ',ne
' actually, think dropped night 000100 ',ne
' adam state 000000 ',ne
' broke whoa, working 000000 ',ne
' talking phone daily, excited baby 000000 ',hp
' awesome 000002 ',hp
' snow october 000000 ',sp
' snow years october wra head 000000 ',sp
' missing blue stars, sad leave early 000090 ',sd
' guys 000000 ',sd
' trying move upstairs, looks tu esday 000100 ',ne
' hope worlds 000000 ',ne
' honestly views world live changed schoo 000000 ',ne
' remember impressed, youth parishes area , groups, social status person 000100 ',ne
' compared group 000000 ',ne
' help local &amp; fishes, volunteer work school ur parish, traveling youth groups 000000 ',ne
' remember endless 000000 ',ne
' see, trying develop faith, attending parishes, work group 000000 ',ne
' sadly 0000100 ',sd
' gift life 000000 ',ne
' listening speak, presence known answer looking dawn 000000 ', ne 
' weight carry, 000010 ',sd
' happened 000000 ',ne
' 000000 ',ne
' band 000000 ',ne
' 000000 ',ne
' jolt real loud jump 000000 ',sp
' afraid 001000 ',fr
' hope learn play hope enjoying hims elf 000600 ',hp
' matter pain cause rest family 000000 ',sd
' happy 000500 ',hp
' nice hot bottle help 000000 ',ne
' decided work 000000 ',ne
' 000000 ',ne
' vegas lot fun 000000 ',hp
' reception blast 000000 ',hp
' champagne, music, trying catch damn 000100 ',hp
' (didn catch by) imagine this: bro neck teeth "girls wanna fun" background 000100 ',hp
' shooting regular desert mountain 000000 ',ne
' (look pics) 000000 ',ne
' add jack drive real party! 000000 ',hp
' bro leaving iraq and, well, know goes 000000 ',ne
' sean put it, 4 5 americans die, put perspective me. know safe home piece, scary thought kinda background mind 002000 ',fr
' hates everybody, lies, talks shit backs, treats people shit 200000 ',dg
' mother truly wants murder father, pissed agree 100000 ',ag
' 000000 ',dg
' ya, fucked shit 000000 ',dg
' =) crappy 000000 ',dg
' know 000000 ',ne
' basically, focus staying busy staying happy 000500 ',hp
' so, "make smile" foundation", party 000000 ',hp
' school home homecoming parade 000000 ',ne
' w/ v-ball 000000 ',ne
' sooo fun 000000 ',hp
' lol 000000 ',hp
' ;) 000000 ',hp
' wal-mart walked 000000 ',ne
' :) game 000000 ',ne
' totally awesome!!! 000002 ',hp
' lol 000000 ',hp
' points 000000 ',hp
' yay!!! 000000 ',hp
' lol 000000 ',hp
' game dance night life!! 000100 ', hp 
' awesome 000002 ',hp
' cant explain words fun 000000 ',hp
' ;) 000000 ',hp
' honestly ever!!! 000000 ',hp
' soooo sad b/c 000060 ',sd
' :( blast!!! 000000 ',hp
' lol 000000 ',hp
' yea 000000 ',ne
' dont know love w/ joe 000400 ',hp
' :) *sighs* lol 000000 ',hp
' hanging w/ matt totally awesome 2!! 000002 ',hp
' love all! 000400 ',hp
' world 000000 ',ne
' exciting, 000100 ',hp
' so, 000000 ',ne
' leave 000000 ',ne
' start world is. goin work day, headed hostels berlin pick people tour, bring back gate tour starts 000000 ',ne
' preparing leave, guy yelled wait, hello 000000 ',ne
' took backpack tour 000000 ',ne
' catching up, night 000200 ',hp
' strange randomly run people years, hole-in-the-walls europe 000000 ',sp
' fun 000000 ',hp
' piece play 000000 ',hp
' incredibly simple, cutting huge cast perfor mers 000000 ',sp
' moments remind theatre 000000 ',ne
' lucky able stay friends cut t, side london life 000000 ',hp
' sooooo fun 000000 ',hp
' major own, theater nigh 000100 ',ne
' 000000 ',dg
' horrible 002000 ',dg
' horribly acted, horribly directed, weak 103000 ',dg
' 000000 ',dg
' hours 000000 ',dg
' wanted leave intermission, enjoying (should sign) stayed 000600 ',hp
' guess took know british capable producing awful work 002001 ',dg
' london theater 000000 ',ne
' amazing 000001 ',sp
' performers incredible, played geoffrey, fro fresh prince 000000 ',sp
' hilarious, love 000600 ',hp
' time, fun 000000 ',hp
' loved london 000400 ',hp
' loved free museums 000400 ',hp
' british museum 000000 ',ne
' soooo monuments, statues communist 000000 ',ne 
' reading this, spent eastern talking communist 000000 ',ne
' part, statues donated 000000 ',hp
' 000000 ',sp
' wellington, watch 000000 ',ne
' make: world cup entire soccer game start finish 100000 ',ne
' people change day, instance period 90,000 city, hands german 000000 ',sp
' brazilians, everywhere, singing-clapping-dancing-taking pi ctures, course brits cock-eyed drinking songs 000000 ',hp
' loads fun 000000 ',hp
' tickets games, group friends alway cafe bar playing watch 000000 ',ne
' french cafe france-swiss game, bar played, drank brazilians, etc. hilarious part fighting 000200 ',hp
' interesting emerged cup 000100 ',sp
' explaining: world cup began, german street s, called radical right 000000 ',ne
' worth agree them, nervous 000000 ',fr
' 000000 ',ne
' people genuinely excited supporting national team, pride 000200 ',hp
' newfound shared 000000 ',hp
' course idea germans 000000 ',ne
' june training work lead tours camp, starte month 000000 ',ne
' dark history place imagine retelling hat information, trying put historical 000010 ',ne
' july beautiful weather summer adventures, traveled australian friend theater festival cyprus 000000 ',hp
' friend north texas, jessica, playing title role medea theater festival 000000 ',ne
' ridiculous amounts fun 000000 ',hp
' city sweaty, dirty, hole 000000 ',dg
' squalor-filled mediterranean capital, add imag e: 10 story everywhere, 100 degree heat, cooled wall-mounted air condi tioners, a.k.a. swamp boxes 000000 ',ne
' imagine swamp box coolers head streets 000000 ',dg
' add couple poorly placed 000010 ',ne
' city lovely, 000400 ',hp
' days back back 000000 ',ne
' amazing 000001 ',sp
' took hours there, played rocks hour, pics temple ruin literall clinging cliff face 000000 ',ne
' watched tourists sun th temple, mediterranean 000000 ',sp
' sky amazing greece, feels reach ouch it, close 000201 ',sp
' 000000 ',ne
' bad 000010 ',ne
' cyprus amazing 000001 ',sp
' jessica medea, treated incredibly fest ival 000000 ',sp
' stayed tiny mountain village called droushia, people brought incredible 000000 ',sp
' feel welcome, puttin beautiful hotel, pay anything, sure ur stay stories 000000 ',hp
' tomorrow special. 000000 ',ne
' morning, festival, drive hicles, took map area blue 000030 ', ne 
' imagine incredible, cove, blue water, giant stone wate r, wide, color 000030 ',sp
' brought lunch fresh fruit broke fast cliff gorgeous 000000 ',ne
' interesting staying mountain village, nd experience bit 000100 ',hp
' oh food incredible 000000 ',sp
' feta 000000 ',ne
' feta 000000 ',ne
' testament vision world technical gadgetry, fascinated year-old stones 000101 ',hp
' returning greece berlin passed quickly 000000 ', ne 
' flew knew it, august est friend lance, berlin 000000 ',ne
' spent days working final tours, partying, lan ce city love years 000400 ',hp
' people london paris expensive; 000000 ',ne
' 000000 ',ne
' ball 000000 ',hp
' walking tour, city museum (located castle, cool), relaxing enjoying amazing views 000601 ',hp
' city incredibly beautiful, right water 000000 ',sp
' think city, rumors: city dirty, people rude, language insurmounta ble, incomprehensible, stolen, hate american 200000 ',dg
' called city love light reason 000400 ',ne
' breathtaking, person cliche fall love 000400 ',hp
' people absolutely lovely 000400 ',hp
' genuinely wonderful, helpful, content people 000403 ',hp
' trying order morning (my terrible) asking talking cabbies, surprised open 003003 ',sp
' enjoy city 000600 ',hp
' know beautiful is, appreciate 000000 ',hp
' man, gorgeous 000000 ',hp
' people 000000 ',ne
' fabulous sense community 000000 ',hp
' favorite part city nap chairs 000200 ',hp
' people place, lots chairs 000000 ',ne
' thought: "that strange, about? 000000 ',sp
' headed chairs shade , 000000 ',ne
' looked noticed lots people park, nap chairs, 000000 ',ne
' 000000 ',ne
' city tax dollars chairs public park 000000 ',ne
' france 000000 ',hp
' ball paris 000000 ',hp
' versailles, dame, fabulous bike tour 000000 ',hp
' interesting learned bike tour revol utionaries bastille, 7 left 000100 ',sp
' montmartre, artist district, minutes cathedral 000000 ',ne
' cathedral point paris, point, entire city spread feet 100000 ',ne
' pretty breathtaking sight 000000 ',hp
' steps sort party performers ity-watchers bottle wine spirit 000000 ',hp
' steps favorite paris 000200 ',hp
' incredible incredible journey 000000 ',sp
' thus, tour 000000 ',ne
' returned fresh start, side 000000 ',ne
' lucky direct school, sunday 102000 ',hp
' piece red hat, extremely 000000 ',hp
' nice stretch theater muscles 000000 ',hp
' european adventure (for moment) american star ts tomorrow 000000 ',ne
' excited move, opportunities 000100 ',hp
' lot 000000 ',ne
' hope well; summer, excited upcoming (rapidly approaching) holiday season 000000 ',hp
' wish fabulous week, warm safe start season 000100 ',hp
' meet 000000 ',ne
' school 000000 ',ne
' classes fine 000000 ',ne
' sucks, accepted 000000 ',dg
' teachers amazing, know ama zing 000001 ',sp
' so, all-in-all, pretty good, right 000100 ',hp
' honestly, dating child, barely school 000000 ',ne
' brandon break up, is. unlikely, ope 000200 ',ne
' junior year, will, fact, bitch 000000 ',dg
' world hardest (academically, anyway) 000000 ',ne 
' strong woman handle bit mental talks 000000 ',ne
' handle school drama.") also, friends, hem true, caring, trustworthy friends love supporting 100% 000720 ',hp
' triumphantly grace 0001100 ',hp
' looked 000000 ',ne
' happy 000500 ',hp
' try succeed 000000 ',hp
' test myself: mind, body, 000000 ',ne
' loving 000100 ',hp
' junior year, will, fact, bitch 000000 ',dg
' recieved homework classes 000000 ',ne
' ah, 000000 ',ne
' ("you deal this, nyssa 000000 ',ne
' handle school drama.") also, friends, hem true, caring, trustworthy friends love supporting 100% 000720 ',hp
' triumphantly grace 0001100 ',hp
' happens 000000 ',ne
' happy 000500 ',hp
' try succeed 000000 ',hp
' truly nyssa 000000 ',ne
' loving 000100 ',hp
' look learning am, loving inch 000100 ',hp
' believe nerve man. god 000000 ',sp
' 000000 ',ne
' kill 000000 ',ag
' think talk right 000000 ',ne
' holes it) lab course "book. 000000 ',ne
' worse, poorly inch right side page cut off, try read lab tomorrow try ing complete sense all, left 000010 ',ag
' again, angry 100000 ',ag
' like, meals 000200 ',ne
' meals europe 000000 ',ne
' poopy poopy poopy 000000 ',ag
' pay room board, tuition 000000 ',ne
' guess 000000 ',ne
' *cries* life spose 000000 ',sd
' bad mood playing blame game head, ang ry people 000010 ',ag
' forgot demeaning classes 000000 ',ag
' 000000 ',ne
' asking questions completely people jus answers 000000 ',sp
' wonder world in, wonder 000002 ',sp
' mean, 133 (ish) hours graduate which, non college people, 8-10 engineering major non engineering major 000000 ',ne
' find time/place pray 000000 ',ne
' feel privacy talk god cry figure 000000 ',sd
' church too, reasons 000000 ',sd
' love god brings people 000400 ',hp
' ok. feeling 000000 ',ne
' girls, highly shoes, sister enjoying 000600 ',hp
' think spent part hours reading today 000000 ',ne
' spose 000000 ',ne
' remind that, sense concept, dying 000000 ',sd
' expensive, cushiony, 000000 ',sd
' sitting fall, catch stray ca parking lot, drunk, inattentive, careless, fortunate driver home 000100 ',fr
' unlikely, happen 000200 ',ne
' new, constantly desire take, achieve, feel life 100000 ',ne
' 000000 ',ne
' saved 000000 ',ne
' wrote 000000 ',ne
' live average american life ston cemetery, forgotten reletaves, children, grand children 300000 ',sd
' live house environment family, cars, boat, back 000000 ',ne
' sink money trying live parade house wi th vehicles front, boat huge rack, list',ne 
' 000000 ',ne
' exist 000000 ',ne
' start god, being, hopes heaven 000000 ',ne
' constant rainbow 000000 ',fr
' wonder writers able amazing feeling thought 000003 ',sp
' distractions 000000 ',ne
' thoughts moment melancholy, completely forgo tten push button xbox, dvd player, 000130 ',sd
' words mind "in closing" "to conclude", quickly write summary finished writing 000000 ',ne
' proud father 000000 ',hp
' official, friday 000000 ',ne
' sweet thing, totally depends 000000 ',hp
' funny game life, think step closer understanding ts purpose 000200 ',ne
' hard look life 14 days, honest pt 000000 ',sd
' wept mistakes put feelings feelings 000000 ',sd
' wept "f*ck you" "thank you" 000000 ',sd
' couple vices, strong coffee noodles, smoking, runk couple feeling life 000000 ',hp
' job well, kick work coming home 000100 ',hp
' phone call police hospital plant telling worst, hopes tomorrow 000000 ',fr
' buy 000000 ',ne
' back tank gas 000000 ',ne
' essentially person 000000 ',ne
' 000000 ',ne
' (a brain) theory 000000 ',ne
' brain amazing purpose 000001 ',sp
' people mental energy required train thought 100000 ',ne
' met fully developed brain 000000 ',ne
' head thought deep 000000 ',ne
' know lucky - find contentment looking 000500 ',hp
' find bring worry 000100 ',sd
' sky lifetime panic worry 003100 ',fr
' thought - extreme 000000 ',ne
' life finding balance 000000 ',ne
' saying happy - balance 000500 ',hp
' combination people balanced 000000 ',ne
' balanced 000000 ',ne
' happiness - brain factory 000100 ',hp
' try mental - alter feelings - balance 000000 ',ne
' producing testosterone testoster system 000000 ',ne
' body lazy - - stops 000000 ',ne
' cliche true 000020 ',ne
' "happiness lies within" - truly happy people 000600 ',hp
' happiness bring temporary 000100 ',hp
' temporary happiness intense balanced contentment 000600 ',hp
' equal sadness - life endless swing life 000070 ',sd
' mad called back 100000 ',ag
' laughing put dog drugs dog learned open window li kes temple road 000000 ',hp
' starts asking posted pics, dear sister, 000000 ',ne
' figure couple extra amount 000000 ',ne
' bought cool glass "tumbler up" 000000 ',ne
' ok, alignment bought tires 100000 ',ne
' tend think 000000 ',ne
' called 000000 ',ne
' car, alignment 000000 ',ne
' started questioning drives school bus living kn ows safe vehicle is. bitch 000000 ',ag
' bitch 000000 ',ag
' $500.00 back 000000 ',ne
' bitch 000000 ',ag
' lunch work yesterday 000000 ',ne
' meant started eating 000000 ',ne
' tell, success 000000 ',hp
' 000000 ',hp
' is. guy kitchen, liked e, hahaha 000200 ',hp
' well, say, kitchen, stuff, ven cook 000000 ',ne
' guy think world 000000 ',hp
' figure throw move desk middle room 2 rooms upstairs 000100 ',ne
' emotions gift god 000000 ',ne
' listening emotions asking feeling particu lar discover satisfied 000100 ',ne
' instance, feel sad family connection met 000060 ',sd
' otherhand, feel happy spent family connection met 000500 ',hp
' felt angry insulted, judged, criticized, hu rt 100000 ',ag
' live society stuff emotions society part feelings 000000 ',sd
' so, 000000 ',ne
' 000000 ',ne
' rosenberg, author nonviolent communication, four-step process com munication identifying feelings model 000100 ',ne
' rosenberg calls step process "giraffe language. 000000 ',ne
' heart 3 feet 3 000100 ',ne
' feelings avoid 000000 ',ag
' help 000000 ',ne
' angry upset 100000 ',ag
' correct correct closer identifyin finding situation 000300 ',ne
' list feelings look 000000 ',ne
' instance, feel furious hour calm 300000 ',ag
' calm, focus feelings 000000 ',ne
' feel angry 100000 ',ag
' information nonviolent communication click 000000 ',ne
' - hell hard rock cafe, lets moment 000000 ',hp
' - rome fun friend hanz, managed run money dinner 000000 ',hp
' - yoga awesome, leave 000002 ',hp
' sun, beach, tan, 000000 ',hp
' meals, beautiful sunset, manage pull yoga 000000 ', hp 
' - felt sick eating crappy food, back bad coffee, shift wor k, eating rd 020010 ',dg
' - coming visit nov, mom dad decided along, str ess restaurants, depressed 000040 ',sd
' - help bouremouth, conservative party, takin mr. cameron 000000 ',ne
' - training wait pissed graduate 100000 ',dg
' sorry crappy update, try proper 000060 ',dg
' yay!! 000000 ',hp
' - (it 9-5, weekends) hope pick me, guest days 000000 ',ne
' know point title neh >> sick today tears._.; know 020000 ',sd
' talked earlier msn yeah, fun guess 000000 ',hp
' head, dad woke early brought home, back bed 000000 ',ne
' called dad minutes ago cell house gues hospital 000000 ',ne
' know why, energy cry constantly know 000000 ',sd
' neh 000000 ',ne
' know happened happiness, woke feeling inf act 000100 ',sd
' losing love thats sign 000400 ',sd
' feel right force update 000000 ',ne
' conversation funny, mentioned word pla ns escape earth avoid police, holy/hold, military yeah xd j.c. suggested try suggested sneak steal 000000 ',hp
' hilarious 000200 ',hp
' literally, girls 000000 ',ne
' gaia, lot n.n fun 000000 ',hp
' neh 000000 ',ne
' cassy back sunday night 000100 ',ne
' live that, wish though._.; feel lonely 000000 ', sd 
' 000000 ',ne
' dunno shocking early 100000 ',sp
' move etc. eh, cassy 000100 ',sd
' t_t 000000 ',ne
' heh, thats basically 000000 ',ne
' 000000 ',ne
' white man subject socialists revolutionarie saying hey, hold second! 000000 ',ne
' yes, veils muslim women world wear 000000 ',ne
' listen 000000 ',ne
' 000000 ',ne
' veil ninja outfit, completely covered eyes, cases 100000 ',ne
' called nikab 000000 ',ne
' hijab islam means privacy 000000 ',ne
' actual headscarf 000000 ',ne
' islam women modest, wear hijab, headscarf 000000 ',ne
' fatwa, islamic legal women wear nikab - bu issue conservative radical islam (just west christian right wackies) 000000 ',ne
' anti-muslim sentiment anti-french se ntiment non-christian communities 000000 ',ag
' germans passed laws, turkish-muslim population 000000 ',sd
' brits, true status europeans, wat er 000020 ',ne
' 000000 ',ne
' integrated, muslim community happy 000500 ',ag
' afraid ugly 003000 ',fr
' stated feels veils -- ver period muslim community 000000 ',ne
' mention muslim women saying women thank jack 000000 ',ne
' know many, woman absolutely willingly cover headscarf religious purposes 000000 ',ne
' true muslim world women wear veil 000020 ',ne
' france says head scarves, -- look sexy french school girl belly button hanging 000000 ',ne
' issue 000000 ',ne
' population coming study wear wis 000000 ',ne
' islam secular, european leaders model exa mple islam taught number 000000 ',ne
' hijab accepted tolerated, nikab (which extremely mall muslim women) 000000 ',ne
' muslims seriously address fears concerns white westerners - opened doors worlds 005200 ',fr
' door swing 000000 ',ne
' muslims understand fears concerns secular westerners wh deal islamic rules communities 005200 ',fr
' women run naked, eastern women completely cover themsel ves 000000 ',ne
' black white friends 000000 ',ne
' look eye eye 000000 ',ne
' extremely sad looks skyline thursday 000060 ',sd
' essentially, christian direction, musically, wants (whether skyline not), light confustion, (mike) deci ded leave project 102000 ',ne
' that, songs posted shortly th ose hear 000000 ',ne
' sorry letdown, speak else, hav happen 000080 ',sd
' (our individual pages "members" section) 000000 ',ne
' skyline updates and/or updates (past seudo-present) 000000 ',ne
' well, mil arrived yesterday 000000 ',ne
' bad news morning 21 y/o kitty, aun becky, passed night 000110 ',sd
' knew kitty (she now, ke pt rallying), shock all, sad 000060 ',sd
' think aunt becky waiting mil leave yesterday trip 000000 ',ne
' aagii, mil neighbor, 000000 ',ne
' niece yesterday afternoon collect great-nephew, brando 000100 ',ne
' wanted stay today play 000000 ',ne
' sure kidney appears " peeling onion", feeling 000100 ', hp 
' hey, lately 000000 ',ne
' 000000 ',ne
' know feeling 000000 ',ne
' weekend sooo 000000 ',hp
' sister back university (surprisingly) nice spend ti again! 000003 ',sp
' lol kidding 000100 ',hp
' anyways, monday people fun ell :) inc. 000000 ',hp
' believe god amazing opportunity reason turning 000001 ',sp
' pray trip people (i sure 000000 ',ne
' lol) 000000 ',hp
' feel caught life (hehe funny rm) wanted guys forget 000001 ',hp
' sometimes, 000000 ',ne
' :d lol 000000 ',hp
' random addition hope know trying at, know me, is. guys help th rough 000000 ',ne
' all, proud 000000 ',hp
' today, 000000 ',ne
' walked period find sub 000000 ',ne
' asked sub mind over, course 000000 ',ne
' bell rang, sub took 000000 ',ne
' allowed 10-15 minutes finish work yesterday gan piece 000020 ',ne
' reading class read ing 000000 ',ne
' period ran direction me. liked thrown situation prior knowledge 102200 ',sp
' hand, know today teach full period lesson 3 &amp; 6 000000 ',ne
' lesson explaining term "mood" meant 000000 ',ne
' understanding "mood" works, presented paragraph wrote 200000 ',ne
' reading paragraph, students tell mood 200000 ',ne
' today story 000000 ',ne
' brief background author story 000000 ',ne
' spots, plot summary sure 000000 ',ne
' discussion, asked piece paper 000000 ',ne
' papers, shared class 000000 ',ne
' wow, plans 000000 ',sp
' ovac volleyball tournament morning, day, skating friends tonight 000100 ',ne
' 000000 ',ne
' parents club decided pay breakfasts, free 000000 ',hp
' tried pay back, me. free sweet green tie-dyed ovac shirt, 000000 ',hp
' today rocks 000000 ',hp
' gonna call friend wanted go, th ere 000000 ',ne
' skating-type person, 000000 ',ne
' days, lol 000000 ',hp
' love skating 000400 ',hp
' fall ass minutes, 000000 ',ne
' skates, 000000 ',ne
' o___ 000000 ',ne
' 000000 ',ne
' amazing 000001 ',hp
' like, top favorite authors list 000400 ',hp
' fact, authors books buy, matter 000000 ',ne
' yes, read hundreds, books people 000000 ',ne
' 000000 ',ne
' love stories, retelling stories, writing 000400 ',hp
' know 000000 ',ne
' reading story real characters 000000 ',ne
' pretty 000000 ',sd
' story leads me, people grace page 000000 ',ne
' eat, music like, etc. t! 000200 ',hp
' 000000 ',sd
' well, know lot friends writers, 000000 ',ne
' hm 000000 ',ne
' well, writing 000000 ',hp
' ordering tonic, mean coke 000000 ',ne
' enjoy driving 000600 ',hp
' know worcester, billerica, haverhill, 000000 ',ne
' know brothers, 000000 ',dg
' know sell 000000 ',ne
' find boston 000000 ',ne
' know guy named sean, pat, whitey, red, 000000 ',ne
' 000000 ',ne
' taught public schools 000000 ',dg
' "yankees suck" shirt hat 000000 ',dg
' think 000000 ',ne
' pray red win world series season, life 000000 ',ne
' know "big dig" ice cream 000000 ',ne
' "cape cod", "down cape" 000020 ',ne
' town, massachusetts, named outdoor market world 000000 ',ne
' know mass pike sort strange weather line 000000 ',ne
' letter "r" part english language 000000 ',ne
' brakes know s, frankie paranoia donuts, atm 000000 ',ne
' try order burger king order coffee kno drive 45 minutes $5 tax pulled side treet car traffic left 000100 ',ne
' money saved christmas tree shop know "regular" coffee is. pass friends rom massachusetts 000000 ',hp
' so, ok, happened last, thought funny mention today 000000 ',hp
' brandon night home, night, decided step patio smoke 000100 ',hp
' well, dog; louis, running patio storm, stuck head out, sat stupid young dude trying break nei ghbor (across street) car 000001 ',ag
' 911 asked "is white guy latin guy" 000000 ',ne
' cop came, talked seconds drove street 000000 ',ne
' time, unfortunately, broken car 000000 ',sd
' pick phone balcony call cops walking 000000 ', dg 
' cops 000000 ',sp
' 12 cops car break 000000 ',ne
' basically met neighbors community watch oing 000000 ',ne
' feel safer, neighbors love me. mention 2am break-in 000400 ',hp
' love me, woke butt-crack dawn 000400 ',hp
' beautiful 000000 ',hp
